id,nombre,email,ciudad,fecha_alta
1,Andrés Paredes,andrés.paredes1@correo.pe,Cusco,2024-10-08
2,Paola Ramos,paola.ramos2@correo.pe,Lima,2026-03-02
3,Renzo Chávez,renzo.chávez3@correo.pe,Iquitos,2025-01-16
4,Nadia Rojas,nadia.rojas4@correo.pe,Puno,2025-06-29
5,Sara Castillo,sara.castillo5@correo.pe,Puno,2025-11-29
6,Marco Espinoza,marco.espinoza6@correo.pe,Chiclayo,2024-09-07
7,Carmen Salazar,carmen.salazar7@correo.pe,Trujillo,2025-12-04
8,Marco Quispe,marco.quispe8@correo.pe,Huancayo,2024-11-16
9,Pablo Quispe,pablo.quispe9@correo.pe,Arequipa,2025-09-18
10,Nadia Mendoza,nadia.mendoza10@correo.pe,Lima,2024-01-23
11,Luis Rojas,luis.rojas11@correo.pe,Tacna,2024-09-04
12,Nadia Cárdenas,nadia.cárdenas12@correo.pe,Chiclayo,2024-11-26
13,Elena Salazar,elena.salazar13@correo.pe,Tacna,2025-04-14
14,Paola Huamán,paola.huamán14@correo.pe,Tacna,2025-11-02
15,Marco Ponce,marco.ponce15@correo.pe,Cusco,2025-10-09
16,Valeria Salazar,valeria.salazar16@correo.pe,Lima,2025-11-02
17,Elena Vargas,elena.vargas17@correo.pe,Piura,2024-09-28
18,Luis Salazar,luis.salazar18@correo.pe,Lima,2024-09-01
19,Jorge Vargas,jorge.vargas19@correo.pe,Arequipa,2025-04-28
20,Camila Salazar,camila.salazar20@correo.pe,Cusco,2025-04-13
21,Iván Mendoza,iván.mendoza21@correo.pe,Lima,2024-05-18
22,Paola Castillo,paola.castillo22@correo.pe,Trujillo,2024-03-17
23,Lucía Castillo,lucía.castillo23@correo.pe,Trujillo,2025-09-05
24,Nadia Espinoza,nadia.espinoza24@correo.pe,Piura,2024-06-07
25,Ana Ponce,ana.ponce25@correo.pe,Iquitos,2024-08-02
26,Nadia Huamán,nadia.huamán26@correo.pe,Piura,2026-01-11
27,Paola Ríos,paola.ríos27@correo.pe,Lima,2025-07-07
